5|Child|32: 573 130 55 23 10 4 1 
8|Child|16: 573 130 55 27 10 4 1 
3482|Child|49|Mutated: 990 651 137 45 21 10 4 1 
3484|Child|8|Mutated: 945 611 137 45 21 10 4 1 
3497|Child|37|Mutated: 945 653 137 45 21 10 4 1 
3517|Child|28|Mutated: 945 651 137 46 21 10 4 1 
3533|Child|18|Mutated: 945 624 137 45 21 10 4 1 
3535|Survivor|2|Mutated: 945 769 137 45 21 10 4 1 
3559|Child|30|Mutated: 940 651 137 45 21 10 4 1 
3570|Child|22|Mutated: 945 651 115 45 21 10 4 1 
3579|Child|32|Mutated: 945 703 137 45 21 10 4 1 
3594|Child|26|Mutated: 945 625 137 45 21 10 4 1 
3607|Child|9|Mutated: 896 651 148 45 21 10 4 1 
3614|Survivor|9|Mutated: 946 579 137 45 21 10 4 1 
3632|Child|26|Mutated: 946 701 137 45 21 10 4 1 
3635|Child|30|Mutated: 946 651 137 53 19 10 4 1 
3644|Child|49|Mutated: 946 651 124 45 21 10 4 1 
3648|Child|19|Mutated: 946 650 137 45 21 10 4 1 
3656|Survivor|8|Mutated: 946 696 137 45 21 10 4 1 
3671|Child|48|Mutated: 946 651 145 45 21 10 4 1 
3687|Survivor|9|Mutated|Validated: 978 651 137 45 21 10 4 1 
3717|Child|45|Mutated: 946 659 137 45 21 10 4 1 
3732|Child|44|Mutated: 946 651 134 45 21 10 4 1 
3764|Child|21|Mutated: 946 631 137 45 21 10 4 1 
3783|Child|3|Mutated: 946 651 140 45 21 10 4 1 
3789|Child|19|Mutated: 946 674 137 45 21 10 4 1 
3802|Child|33|Mutated: 946 651 122 47 21 10 4 1 
3806|Child|47|Mutated: 995 651 137 45 21 10 4 1 
3809|Child|43|Mutated: 946 622 137 45 21 10 4 1 
3831|Child|26|Mutated: 971 744 137 45 21 10 4 1 
3834|Child|47|Mutated: 946 565 137 45 21 10 4 1 
3842|Child|34|Mutated: 946 691 137 45 21 10 4 1 
3844|Child|6: 946 601 137 45 21 10 4 1 
3849|Child|7|Mutated: 946 603 137 45 21 10 4 1 
3856|Child|10|Mutated: 946 699 140 45 21 10 4 1 
3859|Child|1|Mutated: 951 651 137 45 21 10 4 1 
3860|Child|33|Mutated: 954 651 137 46 21 10 4 1 
3879|Child|35|Mutated: 946 671 137 45 21 10 4 1 
3884|Child|46|Mutated: 946 697 137 45 21 10 4 1 
3910|Child|36|Mutated: 946 699 137 45 21 10 4 1 
3922|Child|27|Mutated: 946 651 137 51 23 10 4 1 
3932|Survivor|10|Mutated: 989 651 137 45 21 10 4 1 
3990|Child|23|Mutated: 946 651 133 45 21 10 4 1 
4002|Child|39|Mutated: 946 694 137 49 21 10 4 1 
4005|Child|42|Mutated: 946 704 137 45 21 10 4 1 
4006|Child|21|Mutated: 946 651 132 46 21 10 4 1 
4017|Child|14|Mutated: 946 707 137 45 21 10 4 1 
4021|Random|34: 785 173 54 23 14 4 1 
4037|Child|32|Mutated: 946 670 137 45 21 10 4 1 
4057|Survivor|10|Mutated: 958 651 137 45 21 10 4 1 
4079|Child|10|Mutated: 850 651 137 45 21 10 4 1 
4105|Child|12|Mutated: 971 656 137 45 21 10 4 1 
4115|Child|45|Mutated: 967 651 152 45 21 10 4 1 
4145|Child|6|Mutated: 905 651 137 45 21 10 4 1 
4152|Child|40|Mutated: 946 649 137 45 21 10 4 1 
4164|Child|35|Mutated: 946 651 148 45 21 10 4 1 
4198|Child|16|Mutated: 946 608 137 45 21 10 4 1 
4217|Survivor|5|Mutated: 946 598 137 45 21 10 4 1 
4222|Child|4|Mutated: 988 618 137 45 21 10 4 1 
4241|Child|30|Mutated: 946 581 137 45 21 10 4 1 
4245|Child|46|Mutated: 946 745 137 45 21 10 4 1 
4267|Child|23|Mutated: 946 710 137 45 21 10 4 1 
4285|Child|34|Mutated: 978 667 137 45 21 10 4 1 
4303|Random|17: 802 178 60 23 10 4 1 
4317|Child|28|Mutated: 978 651 154 45 21 10 4 1 
4320|Survivor|6|Mutated: 978 651 137 46 21 10 4 1 
4332|Child|9|Mutated: 978 651 130 45 21 10 4 1 
4348|Survivor|4|Mutated: 978 651 139 45 21 10 4 1 
4353|Survivor|7|Mutated: 944 655 137 45 21 10 4 1 
4357|Child|8|Mutated: 978 741 137 45 21 10 4 1 
4365|Child|1|Mutated: 978 698 137 45 21 10 4 1 
4377|Child|14|Mutated: 978 619 137 45 21 10 4 1 
4384|Child|45|Mutated: 978 663 137 45 21 10 4 1 
4404|Child|44|Mutated: 978 583 137 45 21 10 4 1 
4457|Child|35|Mutated: 978 605 137 45 21 10 4 1 
4477|Survivor|4|Mutated: 963 628 137 45 21 10 4 1 
4489|Child|24|Mutated: 978 680 148 45 21 10 4 1 
4491|Child|48|Mutated: 978 613 137 45 21 10 4 1 
4505|Child|29|Mutated: 978 651 133 45 21 10 4 1 
4541|Child|47|Mutated: 978 651 140 45 21 10 4 1 
4545|Child|9|Mutated: 978 669 137 45 21 10 4 1 
4577|Child|25|Mutated: 978 628 137 45 21 10 4 1 
